Country Name,Country Code,EducExpense,AdolescentBirths,"Birth Rate (per 1,000)",Business Start  (% of GNI per capita),"Death rate, crude (per 1,000)",Diabetes (% of population ages 20 to 79),Business Ease (1=most friendly),"Employment to population ratio, 15+, female (%)","Employment to population ratio, 15+, male (%)","Fertility rate, total (births per woman)",Fixed broadband subscriptions (per 100),Fixed telephone subscriptions (per 100),Percent Forest,GDP Growth,GDP per capita,"Immunization, DPT (%)","Immunization, measles (%)",Import Value (100),Import Volume (100),Percent Sanitation,Percent Imp Water,"TB (per 100,000)",Percent Internet,Inflation,Percent Migrant,Number of Tourists,% Female Labor Participation,% Male Labor Participation,% Labor Force Female,Life Exp Female,Life Exp Male,Cell (per 100),Traffic Mortality (per 100000),Infant Mortality (per 1000),Under 5 yrs Mortality,Air Pollution (micrograms per m^3),Population ages 0-14 (% of total),Population ages 65+ (% of total),Population density (people per sq. km of land area) [EN.POP.DNST],Annual Pop Growth (%),Percent Rural,Rural population growth (annual %),Secure Servers (per million),"Suicides (per 100,000)","Survival to age 65, female (%)","Survival to age 65, male (%)",Alcohol (liters/pp),Total Tax Rate (% of profits),"Unemployment, female (%)","Unemployment, male (%)",Urban population (% of total),Urban population growth (annual %)
Afghanistan,AFG,1.6,71.2034,33.314,19,8.034,8.8,182,16.72200012,77.18099976,4.653,0.326255793,0.343677097,2.067824648,0.840718528,594.3230812,78,68,656.7642928,424.8196109,31.9,55.3,189,8.26,3.817148924,1.175546927,,19.0510006,83.64600372,17.4909385,61.97,59.524,61.57768158,15.2,66.3,91.1,48.01676483,44.04194947,2.469089724,49.82164936,2.802986283,73.297,2.230252873,1.414228777,5.5,61.61129,55.73102,1,36.5,12.22700024,7.729000092,26.703,4.392151969
Albania,ALB,3.227126018,21.8354,13.632,10.3,7.463,10.3,90,33.35599899,50.38700104,1.793,7.596854658,7.091628008,28.15693431,2.800000001,3945.217582,98,98,395.8823475,263.432071,93.2,95.1,19,63.2529327,0.159535419,1.98903641,4131000,40.32699966,60.6609993,40.82275995,80.557,75.593,106.3802068,13.6,12.5,14,17.93662454,18.54620412,12.39633387,105.4440511,-0.155183807,42.593,-2.47127694,37.72713727,4.3,90.83192,84.79198,6.6,36.5,17.2859993,16.93799973,57.407,1.598580321
Algeria,DZA,4.4671956,10.4716,23.692,10.9,5.114,7.5,163,13.67199993,63.98500061,2.805,5.584923796,8.041627955,0.821247986,3.763466957,4154.119692,95,95,561.5636245,491.6545084,87.6,83.6,75,38.2,-7.263727272,0.611072023,1710000,16.81900024,70.44300079,19.20094891,77.456,72.744,106.3843412,23.7,21.9,25.5,35.56453306,28.53871044,5.938038072,16.6544217,1.86309983,29.273,-0.159153932,2.546227966,3.1,85.55812,77.47755,0.6,72.7,18.71500015,9.166999817,70.727,2.712199755
Angola,AGO,3.57,161.9322,44.998,22.5,13.424,4.1,181,55.5890007,72.30500031,5.996,0.672968878,1.24857986,46.40731531,3.006980545,4101.472152,64,55,712.6228025,578.6190982,51.6,49,370,12.4,-4.017647716,0.42700468,592000,59.88100052,77.14199829,44.59706208,54.216,51.19,60.84389581,24.4,96,156.9,36.39542768,47.65044117,2.313470552,20.07056549,3.226505657,55.95,1.849081878,5.475187529,20.5,50.24344,44.45537,7.6,49,7.168000221,6.269999981,44.05,5.003843209
Argentina,ARG,5.134051915,63.7888,17.359,9.7,7.55,6,118,44.64199829,70.11599731,2.308,16.26343491,23.89549413,9.906858285,2.647271419,13467.41564,94,89,237.6834698,188.2003093,96.4,99.1,25,69.40092102,24.54535652,4.805292335,5736000,48.38600159,74.46800232,41.0370548,80.21,72.643,146.7017843,14.1,11.1,12.5,13.44396548,25.19419749,10.92655359,15.86469604,1.010993037,8.249,-0.755352893,63.29353725,14.2,87.53282,76.29901,7.6,137.6,7.738999844,5.843999863,91.751,1.171338102
Armenia,ARM,2.1,22.4606,13.008,1,9.316,6.4,43,44.46900177,62.34500122,1.517,9.577593598,18.44362222,11.66139796,3,3489.12769,94,97,368.9760744,248.4447392,89.5,100,41,58.24933222,1.178326866,6.335892888,1192000,54.89099884,73.5759964,47.53490131,78.719,71.062,115.8898894,15.7,12.6,14.1,25.50768535,18.38389482,10.82598339,105.9962065,0.383740747,37.327,0.756748326,49.04377886,5.4,87.3273,73.15527,5.5,20,18.98600006,15.26500034,62.673,0.162243032
Australia,AUS,5.05,13.844,12.7,0.7,6.6,5.1,13,55.01399994,66.62999725,1.833,28.54145037,37.95494572,16.23875662,2.240028575,56290.64681,93,91,291.3781461,226.005864,100,100,6,84.56051935,-0.65182248,28.21840969,7444000,58.57099915,70.92099762,45.58124144,84.5,80.5,132.8005094,5.4,3,3.8,5.897734951,18.6980894,15.04487489,3.096696562,1.392847466,10.577,0.133900265,1460.418755,11.8,93.0261,88.76538,12.6,47.6,6.072000027,6.050000191,89.423,1.542810082
Austria,AUT,5.298103441,6.786,9.8,0.3,9.6,6.9,18,51.82500076,62.00699997,1.47,28.69325283,42.18276252,46.88389903,0.963058399,43636.7537,98,96,214.9616056,128.2341418,100,100,7.6,83.9263,1.887389371,17.46572625,26719000,54.72800064,66.02500153,46.53855174,84.2,79.6,157.4082637,5.7,2.9,3.5,17.01299421,14.20763979,18.75913005,104.6782836,1.126802753,34.032,0.982939834,1495.768991,16.4,92.64637,86.48274,8.5,51.7,5.304999828,6.085999966,65.968,1.201100706
Azerbaijan,AZE,2.494591217,60.9936,17.2,1.2,5.7,6.5,61,58.20399857,65.54699707,1.97,19.76010603,18.68413059,13.78367589,1.1,5497.488414,96,98,833.9274744,529.7720987,89.3,87,69,77,-8.845816649,2.709061584,1922000,61.85699844,68.32099915,48.79956764,74.092,67.76,111.2826317,10,27.9,31.7,30.3540129,21.91854638,5.626089813,116.7310768,1.191209858,45.38,0.608947453,16.37417519,3.3,82.43695,69.51233,2.1,39.8,5.90500021,4.059999943,54.62,1.677563543
"Bahamas, The",BHS,3.8356,28.699,15.044,10.8,6.234,13.2,120,58.18099976,66.5059967,1.861,20.90522747,31.20250601,51.44855145,-1.663644107,22817.23086,95,94,152.4553565,86.01268733,92,98.4,18,78,4.474073113,15.28430309,1484000,69.43099976,79.13700104,48.36356762,78.491,72.45,80.29307262,11,9.9,12.1,13.71948341,20.92114046,8.280522346,38.76313686,1.287833609,17.126,0.862979822,337.6123334,1.8,83.38201,73.25775,4.2,33.8,16.20299911,15.96100044,82.874,1.375855376
Bahrain,BHR,2.91,13.4214,14.205,0.8,2.367,19.6,66,37.56499863,84.95700073,2.035,18.60970519,20.60084164,0.778210117,2.862955875,22600.2141,98,99,213.673369,124.55383,99.2,100,18,93.47830114,-9.369251585,51.12678501,11621000,39.19499969,85.38700104,19.85776082,77.781,75.903,185.2619572,7.1,5.3,6.2,55.45435188,21.47495311,2.410841417,1786.299611,1.117650683,11.225,0.620309937,187.3315922,6.5,88.52943,85.90209,2.4,13.5,4.15899992,0.504000008,88.775,1.18071265
Bangladesh,BGD,1.59,82.55,19.455,13.9,5.35,8.3,178,40.9659996,78.02500153,2.144,3.05024743,0.538779547,10.97795191,6.552633316,1211.701531,94,88,444.2237983,255.0349518,60.6,86.9,225,14.4,5.872776577,0.883753735,,43.13199997,80.98100281,34.52760474,73.316,70.749,81.89932116,12.8,30.7,37.6,89.3929096,29.44697472,4.973556365,1236.810648,1.198570972,65.723,0.047333238,1.31680583,5.5,78.5473,72.70213,0.2,34.4,5.019999981,3.651000023,34.277,3.443734933
Barbados,BRB,6.776948547,39.4398,12.011,7.1,10.65,13.6,115,55.76699829,62.13399887,1.796,27.22570457,54.5623726,14.65116279,0.882405907,15429.34046,97,96,139.9466286,85.68859237,96.2,99.7,0,76.11,-0.134204185,12.12990166,592000,62.35100174,70.71199799,49.71565104,78.118,73.316,116.4566825,5.5,12,13,15.38938638,19.36597294,14.1639252,660.9651163,0.294224087,68.525,0.409549862,457.4002076,0.4,87.62725,79.406,6.5,34.7,10.56099987,12.13099957,31.475,0.043605871
Belarus,BLR,4.69,17.551,12.5,0.9,12.6,5.3,50,54.23500061,67.86399841,1.724,31.35639018,49.0371467,42.54842048,-3.887698502,5754.601939,99,99,350.5782887,197.2065525,94.3,99.7,55,62.23036091,16.2944221,11.40401056,102000,54.50699997,68.22100067,48.86650317,78.9,68.6,123.6360037,12.6,3.4,4.6,20.48379252,16.06820723,13.98092172,46.76761126,0.159300802,23.333,-1.498330304,63.0162485,22.8,83.93093,56.68404,17.1,54,0.497999996,0.522000015,76.667,0.669290501
Belgium,BEL,6.12,8.0566,10.9,5,9.8,5.1,38,44.45000076,53.88199997,1.74,36.84966063,40.13722647,22.56935271,1.500230801,40454.16997,99,96,211.9281823,134.4636979,99.5,100,9.4,85.0529,0.868447301,12.28353319,8355000,48.20800018,59.25600052,46.05171671,83.9,78.8,115.6907852,7.1,3.3,4.1,15.63662972,16.94444169,18.22481643,371.51321,0.16197946,2.142,-1.688008675,980.050527,20.5,91.26882,85.43903,10.8,58.4,7.796000004,9.06799984,97.858,0.202858907
Belize,BLZ,6.39,65.135,22.758,34.2,5.568,16.5,110,47.86700058,78.16100311,2.546,4.99974108,6.790315249,59.89916703,1.043801055,4878.721267,94,96,183.3474478,111.6285766,90.5,99.5,25,41.59,0.983316653,14.99080123,341000,56.27899933,83.63999939,40.72382167,73.075,67.447,60.974459,21.3,14.2,16.5,27.04048536,32.4542775,3.762451745,15.75129329,2.132591267,56.027,2.402727843,411.9269553,7.3,79.30562,66.73939,8.3,31.1,14.94699955,6.550000191,43.973,1.7894569
Benin,BEN,4.55,81.775,35.592,45.4,9.244,0.8,153,69.29699707,72.61399841,4.688,0.673383807,1.789237845,38.23164243,2.094457981,762.0512054,79,75,582.3033001,338.5802203,19.7,77.9,60,6.787702956,0.075030032,2.255540965,255000,69.97599792,73.39800262,49.3970136,61.203,58.309,85.64432269,27.7,64.2,99.5,35.16237337,42.15840157,2.891166764,96.48659986,2.619974108,56.05,1.845096901,3.860354791,9.3,62.37743,55.80877,2.2,57.4,0.970000029,1.069000006,43.95,3.616977132
Bhutan,BTN,3.37,20.179,17.404,4,6.218,9.3,71,56.78699875,71.38899994,1.984,3.589877663,2.809027111,72.27562505,6.491370587,2655.998892,99,97,569.06621,358.5851529,50.4,100,155,39.8,3.703902839,6.595769395,155000,58.71300125,72.76999664,39.92847806,70.112,69.567,87.0290974,15,27.2,32.9,55.72363212,26.86524786,5.062787966,20.32767532,1.275735916,61.356,0.067333694,16.77787386,11.7,68.884,69.3786,1.1,35.3,3.280999899,1.898000002,38.644,3.224859835
Bolivia,BOL,6.08,70.431,23.591,55.6,7.359,7.5,147,61.12200165,80.1740036,2.923,1.641350074,7.993407787,50.55294009,4.848723761,3076.791811,99,99,524.7968519,211.2969837,50.3,90,117,45.1,-4.620311721,1.333267442,882000,63.87599945,82.54199982,43.9424939,71.276,66.324,92.1838516,23.3,30.6,38.4,27.97140377,32.44523742,6.465436578,9.900032309,1.529800311,31.488,0.251782878,15.75800919,18.7,73.17406,65.67833,5.8,83.7,4.311999798,2.868999958,68.512,2.122698536
Bosnia and Herzegovina,BIH,,8.1686,8.818,14.1,10.69,9.9,79,27.03499985,41.10599899,1.253,16.62407152,20.22900324,42.67578125,3.034826724,4249.330313,82,83,282.7566077,180.7234788,94.8,99.9,37,65.0655028,1.444993534,0.91336484,678000,34.42900085,58.02299881,37.71175706,79.168,74.132,90.15196021,16.6,5.1,5.4,47.40090583,13.49808,15.44395678,74.4221875,-0.187153386,60.233,-0.437535478,42.77748151,6,88.54325,79.41146,7.5,23.3,21.47699928,29.15600014,39.767,0.193285281
Botswana,BWA,9.48,30.9728,24.57,0.7,7.536,5.6,70,58.04800034,69.10700226,2.799,1.791749539,7.804529341,19.12727401,-0.254941436,6360.13822,95,97,340.6838059,223.8591465,63.4,96.2,356,27.5,2.54163008,7.100334367,1528000,73.4469986,81.31800079,47.72643828,66.864,62.224,169.0030004,21,34.8,43.6,17.5393912,31.9980906,3.598079103,3.992174404,1.898494963,42.556,1.296349779,17.23768334,9.7,64.99759,54.48078,7.7,25.1,20.9659996,15.01599979,57.444,2.346929289
Brazil,BRA,5.54,66.7434,14.513,4.8,6.163,10.4,121,50.40499878,73.00099945,1.778,12.24815561,21.44640055,59.04878358,-3.769252669,8677.768107,96,99,304.8919568,195.9385282,82.8,98.1,41,59.07947791,7.902052379,0.3433132,6306000,56.31200027,78.51999664,43.10604284,78.503,71.031,126.5922645,22.6,14.6,16.4,11.36829449,23.02764602,7.844674968,24.86767726,0.855052949,14.313,-0.903992772,77.05648537,6.3,84.81516,72.25414,9.1,68.1,10.48999977,7.028999805,85.687,1.151920456
Bulgaria,BGR,3.57,36.8366,9.2,1.4,15.3,5.9,37,44.51300049,54.27199936,1.53,22.69959921,23.26673032,35.21554901,3.617442633,6993.47736,91,92,447.7293966,277.3332582,86,99.4,24,56.6563,2.205839919,1.428196392,7099000,48.61100006,60.14500046,46.56520659,78,71.1,129.271715,7.6,9.3,10.4,28.12871472,14.14401576,20.02747774,66.120035,-0.638069468,26.052,-1.866473132,181.5271153,15.9,86.55838,71.00581,11.3,27,8.430999756,9.763999939,73.948,-0.201681158
Burkina Faso,BFA,4.31,107.1514,39.53,43.5,9.343,2.2,142,74.96800232,87.14399719,5.437,0.040246447,0.41907101,19.55409357,4.021049409,589.7744141,91,88,487.6898321,323.4812457,19.7,82.3,52,11.38764617,0.266895061,3.892039853,163000,76.64199829,90.66200256,46.92018296,60.284,57.643,80.64303328,30.7,60.9,88.6,40.03947692,45.57206429,2.393307695,66.17532895,2.893466212,70.141,1.710039753,0.662779465,9.2,60.00463,54.72387,7.4,41.3,2.184000015,3.880000114,29.859,5.729782927
Burundi,BDI,5.175521639,27.8548,43.497,13.4,11.066,2.7,155,83.01599884,81.59300232,5.863,0.033655121,0.201375818,10.74766355,-3.904919353,277.0683092,94,93,489.3576456,323.0744382,48,75.9,122,4.866224464,5.886775968,2.565632229,131000,84.63899994,82.66200256,51.65265758,59.184,55.129,46.2209572,32.7,54.1,81.7,45.53410622,44.80131848,2.471276074,435.3162383,3.292392347,87.943,2.95637183,0.53672443,8,57.8269,50.33298,9.8,40.3,1.917000055,1.292999983,12.057,5.778064702
Cabo Verde,CPV,5.01,73.1564,21.108,14.8,5.344,2.3,125,46.47000122,76.5530014,2.268,3.259396241,11.49995574,22.30769231,1.454660521,3080.178814,93,92,263.7167435,162.6555961,72.2,91.7,139,43.01962636,0.472907854,2.867232018,520000,53.18399811,84.15299988,39.8809143,75.24,71.561,118.5837522,21.3,20.7,24.5,39.55602953,29.65060653,4.580770103,129.1568238,1.275336115,34.474,-0.6947577,51.87299953,8.5,83.70815,76.89593,7.2,36.5,12.625,9.031999588,65.526,2.327621356
Cambodia,KHM,1.63,52.1718,23.776,60.7,6.038,3,128,75.42700195,86.53099823,2.595,0.532650926,1.635427921,53.57466576,7.036087179,1158.689904,89,81,713.4446184,461.4555754,42.4,75.5,380,19,1.263296415,0.474794451,4775000,75.53299713,86.71700287,48.75937222,70.75,66.662,133.0003478,19,24.6,28.7,29.03890178,31.60227833,4.117942991,88.25005099,1.616308513,79.277,1.353024399,5.135480722,11.9,76.34329,67.1792,6.1,21,0.140000001,0.215000004,20.723,2.629963923
Cameroon,CMR,2.68,102.36,36.233,33,11.197,6.5,167,67.31500244,78.13600159,4.63,0.068396152,4.509777209,39.80453132,5.773247581,1217.26067,84,79,434.1428835,258.6843291,45.8,75.6,212,20.68014766,0.270521514,1.636313704,,70.97599792,81.10900116,46.9228294,57.136,54.79,71.84542948,28.1,57.1,87.9,66.42837013,42.52268628,3.205582856,49.38372152,2.477142121,45.619,1.252721936,2.484559427,11.9,51.92715,47.88208,7.7,48.8,5.157000065,3.665999889,54.381,3.515971912
Canada,CAN,4.93,9.4578,10.9,0.4,7.5,7.4,20,57.14099884,65.04599762,1.6,36.32432105,43.52303485,38.16667052,0.941675857,43315.70044,91,90,178.2725572,146.1010512,99.8,99.8,5.1,88.47,-0.779228693,21.80166365,17971000,60.97399902,70.27899933,47.1714338,84.127,80.243,82.97723837,5.8,4.3,4.9,7.178847511,15.97205804,16.13577846,3.942219231,0.851756047,18.172,-0.123005321,1308.893148,12.3,92.01212,88.1303,10.3,21.1,6.288000107,7.447000027,81.828,1.06952213
Central African Republic,CAF,1.15,90.6588,33.435,204,14.088,6.3,186,66.58999634,79.125,4.206,,0.039162355,35.58701724,4.799886081,323.201674,47,49,111.419415,68.12725334,21.8,68.5,391,4.563264352,6.162298068,1.665172192,120500,71.6969986,84.57900238,46.91171541,53.409,49.524,25.86868182,31.8,91.5,130.1,46.46839936,39.05261216,3.855457878,7.865860862,1.977644135,59.963,1.515086198,,17.4,47.64469,41.07032,3.8,73.3,7.123000145,6.447999954,40.037,2.674438874
Chad,TCD,1.62,129.752,44.792,150.4,13.799,5.7,183,59.50699997,75.48100281,6.05,0.08332583,0.125161468,3.871505718,1.799999521,775.6950905,55,62,900.4894134,573.7045508,12.1,50.8,152,2.700000001,-8.092784746,3.682771371,119800,64.00800323,79.2559967,44.95564296,52.994,50.806,40.17306812,24.3,85,138.7,46.05858564,47.72033739,2.450740418,11.14792884,3.261297138,77.529,3.09376607,0.213713694,8.7,47.90634,43.22248,4.4,63.5,7.032999992,4.763999939,22.471,3.841473819
Chile,CHL,4.57,47.5032,13.048,0.7,5.137,10,55,47.15599823,70.36199951,1.749,15.17200175,19.22488329,23.8523695,2.305566995,13416.23004,96,96,340.6172084,300.9262131,99.1,99,16,64.289,4.332194503,2.615513217,4478000,50.65800095,74.6289978,41.45398539,84.725,78.99,129.4703901,11.6,7,8.1,20.94195715,20.14693332,11.0030114,24.13902966,1.038877486,10.47,-0.60936688,145.1403797,9.9,92.01309,84.97752,9.3,28.9,6.913000107,5.717000008,89.53,1.233416183
China,CHN,1.79,7.2612,12.1,0.7,7.1,9.8,80,61.22399902,73.82299805,1.569,19.76659867,16.48103646,22.18966958,6.918336423,8069.211938,99,99,747.4540493,522.4061322,76.5,95.5,67,50.3,0.076353251,0.071076396,56886000,63.58000183,77.93299866,43.87559617,77.547,74.5,92.18011871,19.4,9.2,10.7,58.37659937,17.23160046,9.551206566,146.0576461,0.508136747,44.386,-2.168292268,10.11726783,10,87.156,82.83658,7.6,67.8,3.704999924,5.272999763,55.614,2.696837536
Colombia,COL,3.47,48.6822,15.483,7.5,5.93,10,51,51.06100082,74.43000031,1.875,11.15606573,14.35365976,52.72802163,3.083285967,6056.147717,91,94,468.4974217,426.9873803,81.1,91.4,31,55.90497251,2.559597195,0.276047227,2978000,57.92100143,79.80799866,43.37619071,77.835,70.703,115.7447743,18.9,13.6,15.9,17.99813938,24.28677329,7.039005236,43.46886345,0.910880196,23.564,-0.249393717,57.28953446,6.1,84.57817,72.87844,6.6,69.7,11.84300041,6.738999844,76.436,1.271306068
Comoros,COM,3.561395493,67.1044,33.433,89.7,7.38,9.9,152,27.03700066,64.85099792,4.418,0.259720696,1.895831223,19.88178399,1.015118416,717.44885,80,81,537.1226852,350.8315092,35.8,90.1,35,7.459161386,3.426132823,1.592316297,23600,35.31900024,79.37599945,30.67980055,65.275,61.915,55.16285786,28.6,55.1,73.5,17.07934151,40.27374397,2.793497313,423.6829661,2.372060539,71.704,2.228526402,,7.4,66.8552,59.53904,0.2,216.5,23.4489994,18.29899979,28.296,2.73671016
"Congo, Dem. Rep.",COD,2.06,122.2766,41.527,29.3,10.096,6.4,184,67.3789978,69.67199707,5.908,0.001403581,0,67.3024415,6.91618781,456.0527405,81,79,752.5673229,491.6701976,28.7,52.4,324,3.799999507,0.643455026,0.706246281,,70.48799896,71.76599884,50.1328947,60.519,57.6,52.98907151,33.5,74.5,98.3,46.32237903,45.9929356,2.963936108,34.08253634,3.141738113,57.506,2.244994933,0.349438505,9.8,60.24482,54.43078,3.4,54.6,4.410999775,2.917999983,42.494,4.368224962
"Congo, Rep.",COG,2.52,116.122,36.028,52.3,8.308,6.9,176,58.60599899,66.2539978,4.811,,0.363936699,65.39970717,2.646447935,1851.199916,80,80,1661.153647,1118.69361,15,76.5,379,7.615974662,-29.69103945,8.505799369,263000,67.06199646,72.61699677,48.24085335,64.436,61.374,111.6643425,26.7,33.2,45,53.0089847,42.63072118,3.660842407,13.52951684,2.528667516,34.62,1.314208691,1.731478055,9.6,64.68268,58.99373,3.9,56,12.6079998,8.762999535,65.38,3.177770222
Costa Rica,CRI,7.071508844,56.0262,14.524,11.1,4.889,8.5,60,41.04299927,70.45200348,1.8,11.16941845,17.18458503,53.97571485,3.74914483,11260.09216,92,93,242.6661032,252.648969,94.5,97.8,11,59.76295014,3.312587232,8.771009911,2660000,46.77600098,76.55999756,38.19769226,82.066,77.225,150.6620506,14.9,8.5,9.7,20.11774831,22.30866188,8.901047246,94.16079123,1.050539819,23.179,-2.783638956,103.5806026,7.7,89.78362,82.94999,5.1,58.2,12.25800037,7.978000164,76.821,2.236891154
Cote d'Ivoire,CIV,4.56,135.626,36.895,18.6,13.323,2.3,139,46.57099915,74.16300201,4.937,0.515170401,1.301922059,32.70754717,9.163380703,1398.989958,83,72,399.4573184,245.5893455,22.5,81.9,159,21,1.821506936,9.582598655,1441000,52.35200119,80.8690033,38.10170708,52.791,51.09,119.3109704,24,66.6,92.6,23.53443788,42.47431762,3.026915864,71.38854088,2.427516558,45.82,0.909199848,4.096635491,18.1,45.0243,41.23283,6.5,51.9,11.04199982,8.293000221,54.18,3.729796675
Croatia,HRV,4.19,9.17,8.9,3.4,12.9,5.6,39,38.52700043,49.52999878,1.46,23.17575376,34.69744375,34.3459614,1.644613259,11592.9102,94,93,259.4326134,168.6601904,97,99.6,13,69.8031,0.115849604,13.60471399,12683000,46.4129982,58.72600174,46.44552601,80.4,74.3,103.7666724,9.2,3.6,4.3,21.78040386,14.89065558,18.93707475,75.11801287,-0.824099164,41.036,-1.571879116,265.7243641,17.5,90.6967,79.17332,11.7,20,16.98999977,15.65799999,58.964,-0.30036186
Cuba,CUB,13.01,45.1096,10.089,,7.929,10,,41.1269989,66.84300232,1.606,0.072514511,11.51997509,30.76331475,4.438333589,7650.232731,99,99,311.5640886,205.340838,93.2,94.9,7,37.30509742,3.439048763,0.117089665,3491000,42.55400085,68.64900208,38.27645544,81.629,77.563,29.65072755,7.6,4,5.5,17.98569778,16.3053329,13.97284637,109.4939627,0.09180158,22.926,-0.360795379,0.526798133,14,88.4348,83.26122,5.5,,3.354000092,2.630000114,77.074,0.226824769
